Mound,Transect,Date,Time,RLGH,CGH,GSGH,SLANT,SPUR,UNGH,LW,SBF,CWBF,MON,DRGN,BEES,LBEET,BEET,MOTH,BUTT,SNAIL,SPID,FLY,LANT,POTBEET,CATERP,BUG,KATY,ANT,WASP,MOSQ,APHID,PLANTH,SPIT,ADMIRABLE,CRICKET,GHTOTAL
E,E1N,249,9:51,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,6,0,4,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0
E,E3SE,249,9:54,2,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
E,E4S,249,9:55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0
E,E5S,249,9:56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
N,N4E,249,11:00,0,0,0,0,0,20,0,1,0,0,0,0,1,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,N2NE,249,11:00,3,0,0,0,0,12,0,0,0,0,1,0,0,0,1,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
N,N3W,249,11:01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,N5E,249,11:05,4,0,8,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13
N,N3W,263,9:43,9,0,6,0,0,33,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,15
E,E2E,263,9:52,8,0,2,0,0,0,0,6,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
E,E1N,263,9:52,1,0,0,0,0,0,0,2,4,0,7,6,1,0,0,5,0,5,38,0,0,2,0,0,0,1,0,0,0,0,0,0,1
E,E2E,263,9:53,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
E,E3SE,263,9:55,2,0,0,0,0,0,0,1,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
E,E4S,263,9:57,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,2,20,0,0,0,4,0,2,0,0,15,0,0,0,0,1
N,N1N,263,10:13,0,0,2,0,0,7,0,3,0,1,0,2,13,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2
N,N2NE,263,10:40,11,0,3,0,0,10,0,2,2,0,0,0,0,2,0,5,0,3,4,0,0,0,0,0,3,1,0,0,3,30,0,0,14
N,N4E,263,10:41,25,0,2,1,0,0,0,1,0,0,0,2,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29
N,N1N,263,10:45,7,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
N,N1N,270,9:34,3,1,30,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0,12,0,0,34
N,N2NE,270,9:40,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,5
N,N4E,270,9:45,10,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,11
N,N3W,270,9:45,67,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,89
N,N5E,270,9:46,57,2,5,0,0,0,0,0,0,0,0,5,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
E,E4S,270,10:17,0,0,0,0,0,0,0,1,0,0,0,3,1,0,4,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
E,E1N,270,10:19,2,0,7,0,0,0,0,1,0,0,0,3,1,0,0,1,0,1,40,0,13,3,30,0,0,0,0,0,0,0,0,0,9
E,E2E,270,10:20,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,32,0,2,0,3,0,0,5,0,0,0,0,0,0,5
